filenumber,particle_id,mc_z,mc_r,pred_z,pred_r,reward
0,3.1976959231655936e+17,3.014970064163208,3.158053159713745,0
0,3.1976959231655936e+17,6.202310085296631,7.232728004455566,0
0,3.1976959231655936e+17,9.668699264526367,11.66063117980957,9.668699,11.660631,-0.0
0,3.1976959231655936e+17,13.974400520324707,17.159650802612305,13.9744005,17.15965,-0.0
0,3.1976959231655936e+17,20.899999618530273,25.998714447021484,14.8,25.617527,-6.111897977120439
0,3.1976959231655936e+17,28.439998626708984,35.60243225097656,28.439999,35.602432,-0.0
0,3.1976959231655936e+17,39.62000274658203,49.912540435791016,39.620003,49.91254,-0.0
0,3.197641634778972e+17,8.16466999053955,3.2672181129455566,0
0,3.197641634778972e+17,17.21390151977539,7.147189140319824,0
0,3.197641634778972e+17,27.595300674438477,11.602334976196289,17.2521,11.499315,-10.34371371619691
0,3.197641634778972e+17,40.674598693847656,17.21969223022461,40.6746,17.219692,-0.0
0,3.197641634778972e+17,60.959999084472656,25.91927146911621,46.97,25.655117,-13.992491479125
0,3.197641634778972e+17,84.80000305175781,36.156192779541016,84.8,36.156193,-0.0
0,3.197641634778972e+17,122.44999694824219,52.31257247924805,121.55,36.820732,-15.517960782023072
0,4.774181192628961e+17,28.79520034790039,3.153965711593628,0
0,4.774181192628961e+17,59.75,6.5479936599731445,0
0,4.774181192628961e+17,69.75,7.6410322189331055,69.75,6.6481643,-0.9928679466247559
0,4.774181192628961e+17,81.75,8.953922271728516,81.8,6.8077545,-2.146750180699133
0,4.774181192628961e+17,95.80000305175781,10.489469528198242,95.75,6.9239373,-3.565882811847099
0,4.774181192628961e+17,109.80000305175781,12.01953125,109.75,7.3138123,-4.7059846532899945
0,4.774181192628961e+17,129.8000030517578,14.199604988098145,129.8,7.427394,-6.772211074829102
0,5.719616881615176e+17,-8.002279281616211,3.1454694271087646,0
0,5.719616881615176e+17,-18.229400634765625,7.210893154144287,0
0,5.719616881615176e+17,-29.57699966430664,11.537989616394043,-24.0981,11.48976,-5.47911127212836
0,5.719616881615176e+17,-43.32170104980469,17.18534278869629,-24.589901,17.085323,-18.73206710707458
0,5.719616881615176e+17,-65.4000015258789,25.952205657958984,-26.1,25.60375,-39.30154591280878
0,5.719616881615176e+17,-91.24000549316406,35.61223602294922,-91.240005,35.612236,-0.0
0,5.719616881615176e+17,-122.44999694824219,48.658485412597656,-121.85,36.30231,-12.370733433275905
0,6.260024785082778e+17,-23.968400955200195,3.2328426837921143,0
0,6.260024785082778e+17,-60.25,7.999085426330566,0
0,6.260024785082778e+17,-69.80000305175781,9.329290390014648,-69.8,9.32929,-0.0
0,6.260024785082778e+17,-82.19999694824219,10.923868179321289,-82.2,10.923868,-0.0
0,6.260024785082778e+17,-96.19999694824219,12.836993217468262,-96.2,12.836993,-0.0
0,6.260024785082778e+17,-110.19999694824219,14.696919441223145,-110.2,14.696919,-0.0
0,6.260024785082778e+17,-130.1999969482422,17.352039337158203,-130.2,17.35204,-0.0
0,1.936556773301289e+17,59.79999923706055,5.770885944366455,0
0,1.936556773301289e+17,69.80000305175781,6.723047733306885,0
0,1.936556773301289e+17,81.80000305175781,7.866737365722656,81.75,7.0091486,-0.8590452841346984
0,1.936556773301289e+17,95.80000305175781,9.202194213867188,95.8,9.202194,-0.0
0,1.936556773301289e+17,109.80000305175781,10.537654876708984,109.8,10.537655,-0.0
0,1.936556773301289e+17,130.1999969482422,12.481927871704102,130.2,12.481928,-0.0
0,1.936556773301289e+17,150.1999969482422,14.389409065246582,149.8,14.48337,-0.41088166425975947
0,1.9365863226762854e+17,-18.13520050048828,3.20371675491333,0
0,1.9365863226762854e+17,-39.7681999206543,7.215241432189941,0
0,1.9365863226762854e+17,-60.20000076293945,11.005900382995605,-60.2,11.0059,-0.0
0,1.9365863226762854e+17,-70.19999694824219,12.861557006835938,-69.8,11.367819,-1.5463663379030033
0,1.9365863226762854e+17,-82.19999694824219,15.089563369750977,-82.2,15.089563,-0.0
0,1.9365863226762854e+17,-179.85000610351562,33.18484115600586,-95.8,17.275238,-85.54249519625493
0,1.9365863226762854e+17,-215.14999389648438,39.80014419555664,-110.2,17.426786,-107.30828950955733
0,5.719656051716915e+17,-14.1048002243042,3.2292544841766357,0
0,5.719656051716915e+17,-30.948598861694336,7.221982479095459,0
0,5.719656051716915e+17,-59.79999923706055,13.979387283325195,-59.8,10.760094,-3.2192935943603516
0,5.719656051716915e+17,-69.80000305175781,16.318126678466797,-69.8,16.318127,-0.0
0,5.719656051716915e+17,-121.55000305175781,28.382604598999023,-81.8,17.415245,-41.23524554725084
0,5.719656051716915e+17,-149.5500030517578,34.988128662109375,-95.8,17.519503,-56.51739020078983
0,5.719656051716915e+17,-180.14999389648438,42.08000183105469,-121.55,24.323994,-61.230995029974366
0,5.719594204187853e+17,-0.01220330037176609,3.143946409225464,0
0,5.719594204187853e+17,0.09017270058393478,7.141399383544922,0
0,5.719594204187853e+17,0.20406301319599152,11.58324146270752,5.71195,11.493782,-5.508613266739389
0,5.719594204187853e+17,0.34156301617622375,17.07831573486328,5.7987,17.088467,-5.457146280556313
0,5.719594204187853e+17,0.5400000214576721,26.127883911132812,0.54,26.127884,-0.0
0,5.719594204187853e+17,0.7800000309944153,35.958770751953125,0.78000003,35.95877,-0.0
0,5.719594204187853e+17,1.1399999856948853,50.19218826293945,1.14,50.19219,-0.0
0,4503943224754176.0,1.449660062789917,3.198861598968506,0
0,4503943224754176.0,3.994419813156128,7.131232261657715,0
0,4503943224754176.0,6.8191399574279785,11.496404647827148,4.5559397,11.491903,-2.263204759469809
0,4503943224754176.0,10.522500038146973,17.2179012298584,5.24975,17.089102,-5.274322782303596
0,4503943224754176.0,16.34000015258789,26.144201278686523,6.6400003,25.610489,-9.714671647146476
0,4503943224754176.0,22.939998626708984,36.43450927734375,22.939999,36.43451,-0.0
0,4503943224754176.0,31.67999839782715,49.913997650146484,31.679998,49.913998,-0.0
0,4521466691321856.0,-2.609570026397705,3.2103824615478516,0
0,4521466691321856.0,-4.920330047607422,7.295039176940918,0
0,4521466691321856.0,-7.407769680023193,11.56038761138916,-7.43237,11.491665,-0.0729931353396788
0,4521466691321856.0,-10.646499633789062,17.11469078063965,-7.46892,17.095055,-3.177640074085638
0,4521466691321856.0,-15.980000495910645,26.307077407836914,-11.8,25.625458,-4.235210489524848
0,4521466691321856.0,-21.860000610351562,36.35100555419922,-21.86,36.351006,-0.0
0,4521466691321856.0,-29.82000160217285,50.01070785522461,-29.820002,50.010708,-0.0
0,4.5936915485661594e+17,-11.617700576782227,3.144242763519287,0
0,4.5936915485661594e+17,-26.162500381469727,7.146919250488281,0
0,4.5936915485661594e+17,-42.44280242919922,11.628911972045898,-42.442802,11.628912,-0.0
0,4.5936915485661594e+17,-60.20000076293945,16.513113021850586,-60.2,16.513113,-0.0
0,4.5936915485661594e+17,-94.5999984741211,25.971317291259766,-69.8,17.548786,-26.191197062184543
0,4.5936915485661594e+17,-121.55000305175781,33.33251953125,-121.55,33.33252,-0.0
0,4.5936915485661594e+17,-150.14999389648438,41.247169494628906,-150.15,41.24717,-0.0
0,4.0532568445026304e+17,17.53849983215332,3.1451079845428467,0
